mse_id,snp_id,state,category_l1,match_score,rank
MSE00130,SNP007,Goa,Home & Kitchen,0.9042,1
MSE00131,SNP020,Maharashtra,Agriculture,0.7305,1
MSE00132,SNP011,Rajasthan,Agriculture,0.6555,1
MSE00133,SNP004,Kerala,Agriculture,0.9339,1
MSE00134,SNP006,Kerala,Handicrafts & Handloom,0.7057,1
MSE00135,SNP017,Karnataka,Food & Beverage,0.8885,1
MSE00136,SNP020,Rajasthan,Services,0.7996,1
MSE00137,SNP024,Andhra Pradesh,Food & Beverage,0.7595,1
MSE00138,SNP024,West Bengal,Food & Beverage,0.8499,1
MSE00140,SNP007,West Bengal,Home & Kitchen,0.6833,1
MSE00141,SNP007,Andhra Pradesh,Home & Kitchen,0.7487,1
MSE00143,SNP024,Bihar,Food & Beverage,0.7811,1
MSE00147,SNP007,Gujarat,Home & Kitchen,0.847,1
MSE00152,SNP007,Maharashtra,Fashion,0.7768,1
MSE00153,SNP002,Arunachal Pradesh,Electronics,0.6835,1
MSE00155,SNP006,Odisha,Handicrafts & Handloom,0.936,1
MSE00156,SNP017,Kerala,Food & Beverage,0.626,1
MSE00160,SNP024,Uttar Pradesh,Food & Beverage,0.8765,1
MSE00161,SNP007,Maharashtra,Home & Kitchen,0.6778,1
MSE00163,SNP007,Tamil Nadu,Home & Kitchen,0.7403,1
MSE00165,SNP023,Telangana,Services,0.6927,1
MSE00167,SNP002,Punjab,Electronics,0.869,1
MSE00173,SNP007,Nagaland,Home & Kitchen,0.8737,1
MSE00174,SNP008,Maharashtra,Services,0.6827,1
MSE00177,SNP002,Chhattisgarh,Electronics,0.7163,1
MSE00178,SNP007,Andhra Pradesh,Fashion,0.672,1
MSE00180,SNP007,Maharashtra,Fashion,0.7633,1
MSE00185,SNP007,Puducherry,Home & Kitchen,0.7857,1
MSE00186,SNP008,Uttar Pradesh,Services,0.8342,1
MSE00187,SNP024,Uttar Pradesh,Food & Beverage,0.7983,1
MSE00190,SNP006,Andhra Pradesh,Handicrafts & Handloom,0.6216,1
MSE00194,SNP012,Uttar Pradesh,Agriculture,0.7728,1
MSE00197,SNP024,Uttar Pradesh,Food & Beverage,0.8672,1
MSE00198,SNP006,Maharashtra,Handicrafts & Handloom,0.7096,1
MSE00200,SNP007,Uttar Pradesh,Home & Kitchen,0.7051,1
MSE00201,SNP007,Bihar,Home & Kitchen,0.6203,1
MSE00202,SNP004,Assam,Agriculture,0.7626,1
MSE00205,SNP012,Uttar Pradesh,Agriculture,0.7425,1
MSE00206,SNP007,Haryana,Home & Kitchen,0.8252,1
MSE00212,SNP007,Gujarat,Fashion,0.8128,1
MSE00215,SNP012,Uttar Pradesh,Agriculture,0.7383,1
MSE00216,SNP017,Tamil Nadu,Food & Beverage,0.8723,1
MSE00218,SNP002,Tamil Nadu,Electronics,0.6796,1
MSE00220,SNP006,West Bengal,Handicrafts & Handloom,0.9024,1
MSE00224,SNP024,Andhra Pradesh,Food & Beverage,0.6266,1
MSE00226,SNP008,Maharashtra,Services,0.7337,1
MSE00234,SNP024,Gujarat,Food & Beverage,0.6257,1
MSE00235,SNP007,Tamil Nadu,Home & Kitchen,0.6999,1
MSE00236,SNP017,Karnataka,Food & Beverage,0.9034,1
MSE00237,SNP007,Uttar Pradesh,Beauty & Personal Care,0.7955,1
MSE00238,SNP024,Rajasthan,Food & Beverage,0.8559,1
MSE00239,SNP024,Rajasthan,Food & Beverage,0.8041,1
MSE00241,SNP024,Gujarat,Food & Beverage,0.6844,1
MSE00243,SNP007,Jharkhand,Home & Kitchen,0.7801,1
MSE00244,SNP017,Karnataka,Food & Beverage,0.7617,1
MSE00250,SNP004,Manipur,Agriculture,0.6349,1
MSE00252,SNP007,Maharashtra,Home & Kitchen,0.7022,1
MSE00255,SNP024,Punjab,Food & Beverage,0.7598,1
MSE00257,SNP007,Tamil Nadu,Beauty & Personal Care,0.9012,1
MSE00261,SNP006,Gujarat,Handicrafts & Handloom,0.6347,1
MSE00262,SNP004,Ladakh,Agriculture,0.927,1
MSE00263,SNP020,Maharashtra,Agriculture,0.8926,1
MSE00265,SNP007,Madhya Pradesh,Home & Kitchen,0.8264,1
MSE00266,SNP024,Uttar Pradesh,Food & Beverage,0.6851,1
MSE00269,SNP017,Tamil Nadu,Food & Beverage,0.6236,1
MSE00272,SNP006,Gujarat,Handicrafts & Handloom,0.6917,1
MSE00273,SNP017,Tamil Nadu,Food & Beverage,0.9056,1
MSE00275,SNP024,Maharashtra,Food & Beverage,0.7942,1
MSE00279,SNP024,Uttar Pradesh,Food & Beverage,0.9386,1
MSE00280,SNP007,Delhi,Home & Kitchen,0.6671,1
MSE00282,SNP007,Bihar,Home & Kitchen,0.8747,1
MSE00285,SNP024,Tripura,Food & Beverage,0.6263,1
MSE00289,SNP007,Gujarat,Home & Kitchen,0.9337,1
MSE00290,SNP024,Uttar Pradesh,Food & Beverage,0.8488,1
MSE00291,SNP020,Maharashtra,Agriculture,0.6604,1
MSE00293,SNP007,Chhattisgarh,Beauty & Personal Care,0.6857,1
MSE00294,SNP008,Assam,Services,0.7037,1
MSE00297,SNP024,West Bengal,Food & Beverage,0.8967,1
MSE00298,SNP007,Gujarat,Home & Kitchen,0.7971,1
MSE00299,SNP004,Telangana,Food & Beverage,0.642,1
MSE00300,SNP008,Uttar Pradesh,Services,0.8021,1
MSE00302,SNP007,Telangana,Home & Kitchen,0.8363,1
MSE00304,SNP007,Kerala,Home & Kitchen,0.7267,1
MSE00307,SNP004,Odisha,Agriculture,0.8543,1
MSE00311,SNP002,Punjab,Electronics,0.6765,1
MSE00313,SNP007,Maharashtra,Fashion,0.7513,1
MSE00318,SNP024,Maharashtra,Food & Beverage,0.9336,1
MSE00320,SNP002,Gujarat,Electronics,0.8832,1
MSE00323,SNP012,Uttar Pradesh,Agriculture,0.7453,1
MSE00326,SNP017,Tamil Nadu,Food & Beverage,0.6391,1
MSE00327,SNP007,Kerala,Home & Kitchen,0.6679,1
MSE00334,SNP007,Haryana,Fashion,0.9176,1
MSE00335,SNP024,Rajasthan,Food & Beverage,0.8278,1
MSE00338,SNP007,Tripura,Home & Kitchen,0.8038,1
MSE00340,SNP018,Uttar Pradesh,Handicrafts & Handloom,0.8011,1
MSE00342,SNP004,Andhra Pradesh,Agriculture,0.7118,1
MSE00348,SNP024,Maharashtra,Food & Beverage,0.8862,1
MSE00356,SNP017,Karnataka,Food & Beverage,0.6985,1
MSE00358,SNP007,Odisha,Fashion,0.7008,1
MSE00359,SNP017,Tamil Nadu,Food & Beverage,0.6226,1
MSE00362,SNP017,Tamil Nadu,Food & Beverage,0.9209,1
MSE00363,SNP024,Uttar Pradesh,Food & Beverage,0.7885,1
MSE00368,SNP007,Tamil Nadu,Home & Kitchen,0.6967,1
MSE00374,SNP007,Karnataka,Home & Kitchen,0.7107,1
MSE00375,SNP007,Uttar Pradesh,Beauty & Personal Care,0.7171,1
MSE00376,SNP007,Delhi,Home & Kitchen,0.8832,1
MSE00380,SNP024,Bihar,Food & Beverage,0.638,1
MSE00384,SNP024,Assam,Food & Beverage,0.8823,1
MSE00388,SNP008,Kerala,Services,0.7319,1
MSE00390,SNP004,Odisha,Agriculture,0.9092,1
MSE00392,SNP017,Karnataka,Food & Beverage,0.6427,1
MSE00393,SNP007,Maharashtra,Fashion,0.8516,1
MSE00396,SNP007,Maharashtra,Home & Kitchen,0.8074,1
MSE00397,SNP020,Rajasthan,Services,0.6447,1
MSE00399,SNP012,Haryana,Agriculture,0.6907,1
MSE00404,SNP024,Jammu & Kashmir,Food & Beverage,0.6786,1
MSE00406,SNP024,Uttar Pradesh,Food & Beverage,0.7608,1
MSE00407,SNP024,Maharashtra,Food & Beverage,0.8268,1
MSE00408,SNP008,Bihar,Services,0.8872,1
MSE00409,SNP007,West Bengal,Home & Kitchen,0.6267,1
MSE00413,SNP025,Uttar Pradesh,Electronics,0.9282,1
MSE00415,SNP020,Gujarat,Agriculture,0.6636,1
MSE00417,SNP024,Uttar Pradesh,Food & Beverage,0.63,1
MSE00418,SNP004,Delhi,Agriculture,0.7986,1
MSE00424,SNP024,Himachal Pradesh,Food & Beverage,0.8456,1
MSE00427,SNP007,Uttar Pradesh,Beauty & Personal Care,0.898,1
MSE00428,SNP004,Tamil Nadu,Agriculture,0.9369,1
MSE00429,SNP024,West Bengal,Food & Beverage,0.8751,1
MSE00436,SNP006,Andhra Pradesh,Handicrafts & Handloom,0.663,1
MSE00438,SNP017,Kerala,Food & Beverage,0.8057,1
MSE00440,SNP007,Rajasthan,Home & Kitchen,0.7904,1
MSE00442,SNP017,Karnataka,Food & Beverage,0.6855,1
MSE00443,SNP024,Uttarakhand,Food & Beverage,0.7031,1
MSE00444,SNP024,Gujarat,Food & Beverage,0.7628,1
MSE00446,SNP024,Uttar Pradesh,Food & Beverage,0.7256,1
MSE00448,SNP007,Dadra & Nagar Haveli,Home & Kitchen,0.7266,1
MSE00452,SNP007,Andhra Pradesh,Fashion,0.877,1
MSE00453,SNP004,Telangana,Agriculture,0.9042,1
MSE00454,SNP007,Kerala,Fashion,0.9257,1
MSE00459,SNP007,Himachal Pradesh,Fashion,0.9109,1
MSE00461,SNP002,Rajasthan,Electronics,0.7856,1
MSE00462,SNP024,Assam,Food & Beverage,0.8431,1
MSE00464,SNP024,Uttar Pradesh,Food & Beverage,0.7118,1
MSE00465,SNP006,West Bengal,Handicrafts & Handloom,0.6807,1
MSE00466,SNP008,Bihar,Services,0.9256,1
MSE00468,SNP007,Tamil Nadu,Home & Kitchen,0.6491,1
MSE00471,SNP002,Madhya Pradesh,Electronics,0.8845,1
MSE00472,SNP004,Bihar,Agriculture,0.8281,1
MSE00473,SNP004,Kerala,Agriculture,0.8255,1
MSE00474,SNP024,Maharashtra,Food & Beverage,0.8843,1
MSE00475,SNP006,Gujarat,Handicrafts & Handloom,0.6828,1
MSE00476,SNP006,Uttarakhand,Handicrafts & Handloom,0.7035,1
MSE00477,SNP006,Karnataka,Handicrafts & Handloom,0.8999,1
MSE00479,SNP007,Delhi,Fashion,0.9016,1
MSE00484,SNP024,Uttar Pradesh,Food & Beverage,0.6791,1
MSE00485,SNP007,Uttar Pradesh,Home & Kitchen,0.6489,1
MSE00486,SNP024,Maharashtra,Food & Beverage,0.8382,1
MSE00489,SNP024,Jharkhand,Food & Beverage,0.8647,1
MSE00490,SNP007,Kerala,Home & Kitchen,0.7162,1
MSE00494,SNP024,Odisha,Food & Beverage,0.76,1
MSE00497,SNP002,Himachal Pradesh,Electronics,0.652,1
MSE00504,SNP006,Odisha,Handicrafts & Handloom,0.8796,1
MSE00505,SNP018,Delhi,Handicrafts & Handloom,0.7068,1
MSE00508,SNP020,Maharashtra,Agriculture,0.7884,1
MSE00509,SNP007,Gujarat,Home & Kitchen,0.8838,1
MSE00512,SNP007,Jharkhand,Home & Kitchen,0.8326,1
MSE00513,SNP007,Maharashtra,Beauty & Personal Care,0.7358,1
MSE00514,SNP024,Bihar,Food & Beverage,0.8742,1
MSE00517,SNP007,Uttar Pradesh,Fashion,0.6774,1
MSE00519,SNP007,Chhattisgarh,Home & Kitchen,0.9106,1
MSE00522,SNP006,Rajasthan,Handicrafts & Handloom,0.9371,1
MSE00523,SNP006,Jammu & Kashmir,Handicrafts & Handloom,0.8696,1
MSE00527,SNP017,Karnataka,Food & Beverage,0.8842,1
MSE00535,SNP020,Rajasthan,Services,0.8997,1
MSE00537,SNP017,Karnataka,Food & Beverage,0.74,1
MSE00538,SNP007,Telangana,Fashion,0.7403,1
MSE00541,SNP007,Punjab,Fashion,0.6742,1
MSE00547,SNP007,Karnataka,Fashion,0.6986,1
MSE00549,SNP007,Maharashtra,Home & Kitchen,0.7316,1
MSE00550,SNP007,Odisha,Home & Kitchen,0.8627,1
MSE00551,SNP007,West Bengal,Fashion,0.9024,1
MSE00552,SNP008,Tamil Nadu,Services,0.6841,1
MSE00554,SNP024,Delhi,Food & Beverage,0.9251,1
MSE00555,SNP024,Odisha,Food & Beverage,0.8178,1
MSE00560,SNP007,Andhra Pradesh,Fashion,0.9126,1
MSE00566,SNP024,Andhra Pradesh,Food & Beverage,0.849,1
MSE00568,SNP007,Uttarakhand,Home & Kitchen,0.8499,1
MSE00569,SNP007,Karnataka,Fashion,0.8929,1
MSE00571,SNP017,Karnataka,Food & Beverage,0.6841,1
MSE00572,SNP006,Maharashtra,Handicrafts & Handloom,0.8366,1
MSE00574,SNP007,Kerala,Fashion,0.677,1
MSE00575,SNP007,Madhya Pradesh,Beauty & Personal Care,0.6986,1
MSE00578,SNP007,Madhya Pradesh,Home & Kitchen,0.8586,1
MSE00582,SNP007,Tamil Nadu,Beauty & Personal Care,0.631,1
MSE00584,SNP024,Madhya Pradesh,Food & Beverage,0.8579,1
MSE00588,SNP024,Punjab,Food & Beverage,0.6222,1
MSE00589,SNP020,Gujarat,Services,0.7413,1
MSE00590,SNP006,Andhra Pradesh,Handicrafts & Handloom,0.8976,1
MSE00591,SNP017,Tamil Nadu,Food & Beverage,0.8275,1
MSE00593,SNP007,Madhya Pradesh,Home & Kitchen,0.7356,1
MSE00597,SNP020,Maharashtra,Agriculture,0.8079,1
MSE00600,SNP007,Chhattisgarh,Home & Kitchen,0.7983,1
MSE00601,SNP007,Madhya Pradesh,Fashion,0.7643,1
MSE00613,SNP024,Uttar Pradesh,Food & Beverage,0.6542,1
MSE00615,SNP007,Gujarat,Home & Kitchen,0.9189,1
MSE00616,SNP017,Kerala,Food & Beverage,0.7093,1
MSE00617,SNP007,Maharashtra,Home & Kitchen,0.8392,1
MSE00618,SNP007,Jharkhand,Fashion,0.8772,1
MSE00620,SNP008,Andhra Pradesh,Services,0.8222,1
MSE00621,SNP024,Nagaland,Food & Beverage,0.7499,1
MSE00625,SNP024,Andhra Pradesh,Food & Beverage,0.8532,1
MSE00627,SNP007,Punjab,Home & Kitchen,0.6208,1
MSE00629,SNP004,Karnataka,Agriculture,0.8982,1
MSE00631,SNP007,Maharashtra,Home & Kitchen,0.8839,1
MSE00635,SNP007,Madhya Pradesh,Home & Kitchen,0.6593,1
MSE00637,SNP024,Madhya Pradesh,Food & Beverage,0.9194,1
MSE00638,SNP006,Assam,Handicrafts & Handloom,0.6515,1
MSE00639,SNP020,Maharashtra,Agriculture,0.667,1
MSE00640,SNP024,Himachal Pradesh,Food & Beverage,0.8487,1
MSE00643,SNP004,Jharkhand,Agriculture,0.9236,1
MSE00646,SNP017,Tamil Nadu,Food & Beverage,0.8123,1
MSE00647,SNP004,Telangana,Food & Beverage,0.6988,1
MSE00648,SNP006,Tamil Nadu,Handicrafts & Handloom,0.8368,1
MSE00650,SNP007,Rajasthan,Fashion,0.7968,1
MSE00652,SNP024,Haryana,Food & Beverage,0.6903,1
MSE00659,SNP008,Madhya Pradesh,Services,0.8733,1
MSE00661,SNP006,Gujarat,Handicrafts & Handloom,0.7972,1
MSE00664,SNP020,Maharashtra,Agriculture,0.9291,1
MSE00669,SNP007,Uttar Pradesh,Home & Kitchen,0.8453,1
MSE00671,SNP024,Gujarat,Food & Beverage,0.8021,1
MSE00673,SNP024,Chhattisgarh,Food & Beverage,0.7398,1
MSE00674,SNP007,Gujarat,Home & Kitchen,0.8305,1
MSE00675,SNP024,Rajasthan,Food & Beverage,0.8968,1
MSE00676,SNP007,Tamil Nadu,Home & Kitchen,0.8887,1
MSE00681,SNP004,West Bengal,Agriculture,0.6388,1
MSE00685,SNP017,Tamil Nadu,Food & Beverage,0.6408,1
MSE00687,SNP024,West Bengal,Food & Beverage,0.6591,1
MSE00688,SNP002,Tamil Nadu,Electronics,0.6929,1
MSE00690,SNP011,Rajasthan,Agriculture,0.7368,1
MSE00694,SNP007,Uttar Pradesh,Home & Kitchen,0.7247,1
MSE00697,SNP024,Maharashtra,Food & Beverage,0.67,1
MSE00699,SNP007,Maharashtra,Beauty & Personal Care,0.8583,1
MSE00701,SNP008,Maharashtra,Services,0.7891,1
MSE00705,SNP006,Rajasthan,Handicrafts & Handloom,0.7312,1
MSE00706,SNP024,Madhya Pradesh,Food & Beverage,0.7562,1
MSE00707,SNP024,Chhattisgarh,Food & Beverage,0.9092,1
MSE00710,SNP006,Karnataka,Handicrafts & Handloom,0.8039,1
MSE00716,SNP007,Karnataka,Fashion,0.7317,1
MSE00718,SNP007,Tamil Nadu,Home & Kitchen,0.6939,1
MSE00727,SNP007,Madhya Pradesh,Fashion,0.9045,1
MSE00729,SNP007,Chhattisgarh,Home & Kitchen,0.8712,1
MSE00733,SNP004,Karnataka,Agriculture,0.8983,1
MSE00735,SNP006,Andhra Pradesh,Handicrafts & Handloom,0.8111,1
MSE00736,SNP007,Gujarat,Beauty & Personal Care,0.9302,1
MSE00738,SNP007,Karnataka,Home & Kitchen,0.9331,1
MSE00740,SNP007,Uttar Pradesh,Fashion,0.8534,1
MSE00741,SNP024,Madhya Pradesh,Food & Beverage,0.7502,1
MSE00742,SNP007,Jharkhand,Home & Kitchen,0.7864,1
MSE00744,SNP007,Himachal Pradesh,Home & Kitchen,0.6914,1
MSE00745,SNP007,Madhya Pradesh,Home & Kitchen,0.6777,1
MSE00747,SNP007,Uttar Pradesh,Fashion,0.8028,1
MSE00748,SNP008,Haryana,Services,0.6573,1
MSE00753,SNP007,Madhya Pradesh,Fashion,0.8936,1
MSE00754,SNP024,Nagaland,Food & Beverage,0.6612,1
MSE00755,SNP007,Uttar Pradesh,Home & Kitchen,0.8908,1
MSE00756,SNP024,Delhi,Food & Beverage,0.7138,1
MSE00761,SNP007,Rajasthan,Fashion,0.793,1
MSE00762,SNP004,Karnataka,Agriculture,0.6257,1
MSE00763,SNP004,Kerala,Agriculture,0.6712,1
MSE00764,SNP004,Delhi,Agriculture,0.7937,1
MSE00769,SNP007,Gujarat,Home & Kitchen,0.737,1
MSE00771,SNP002,Tamil Nadu,Electronics,0.7146,1
MSE00773,SNP004,West Bengal,Agriculture,0.7763,1
MSE00774,SNP004,West Bengal,Agriculture,0.6948,1
MSE00775,SNP017,Kerala,Food & Beverage,0.9174,1
MSE00776,SNP007,Kerala,Fashion,0.8619,1
MSE00779,SNP017,Tamil Nadu,Food & Beverage,0.8219,1
MSE00787,SNP007,Maharashtra,Beauty & Personal Care,0.8373,1
MSE00789,SNP024,Uttar Pradesh,Food & Beverage,0.6703,1
MSE00792,SNP008,Kerala,Services,0.7026,1
MSE00793,SNP007,Odisha,Fashion,0.6642,1
MSE00796,SNP007,Karnataka,Home & Kitchen,0.7861,1
MSE00797,SNP007,Kerala,Fashion,0.7458,1
MSE00798,SNP007,Andhra Pradesh,Fashion,0.8172,1
MSE00800,SNP006,Odisha,Handicrafts & Handloom,0.7221,1
MSE00801,SNP024,Andhra Pradesh,Food & Beverage,0.8222,1
MSE00802,SNP017,Tamil Nadu,Food & Beverage,0.7534,1
MSE00803,SNP004,Telangana,Food & Beverage,0.6832,1
MSE00804,SNP007,Karnataka,Fashion,0.9009,1
MSE00805,SNP007,Rajasthan,Home & Kitchen,0.6258,1
MSE00810,SNP007,Andhra Pradesh,Fashion,0.7416,1
MSE00812,SNP004,Telangana,Food & Beverage,0.932,1
MSE00813,SNP008,Bihar,Services,0.7237,1
MSE00818,SNP007,Jammu & Kashmir,Fashion,0.854,1
MSE00822,SNP004,Bihar,Agriculture,0.7904,1
MSE00823,SNP024,West Bengal,Food & Beverage,0.8711,1
MSE00825,SNP007,Delhi,Fashion,0.7683,1
MSE00826,SNP006,Karnataka,Handicrafts & Handloom,0.9128,1
MSE00828,SNP024,Maharashtra,Food & Beverage,0.6475,1
MSE00829,SNP017,Tamil Nadu,Food & Beverage,0.898,1
MSE00830,SNP023,Telangana,Services,0.7087,1
MSE00832,SNP007,Maharashtra,Fashion,0.8107,1
MSE00836,SNP007,Bihar,Fashion,0.9184,1
MSE00837,SNP007,Andaman & Nicobar,Home & Kitchen,0.8174,1
MSE00838,SNP017,Karnataka,Food & Beverage,0.7905,1
MSE00841,SNP024,Uttar Pradesh,Food & Beverage,0.6271,1
MSE00842,SNP007,Gujarat,Fashion,0.9096,1
MSE00845,SNP006,Gujarat,Handicrafts & Handloom,0.8775,1
MSE00846,SNP007,Rajasthan,Home & Kitchen,0.8997,1
MSE00847,SNP008,Madhya Pradesh,Services,0.6458,1
MSE00848,SNP007,Haryana,Fashion,0.6319,1
MSE00849,SNP024,Uttar Pradesh,Food & Beverage,0.8838,1
MSE00852,SNP007,Nagaland,Home & Kitchen,0.6317,1
MSE00853,SNP012,Haryana,Agriculture,0.7478,1
MSE00855,SNP024,West Bengal,Food & Beverage,0.918,1
MSE00856,SNP024,Uttar Pradesh,Food & Beverage,0.6768,1
MSE00862,SNP008,Uttar Pradesh,Services,0.8691,1
MSE00864,SNP008,Andhra Pradesh,Services,0.8278,1
MSE00865,SNP007,West Bengal,Home & Kitchen,0.861,1
MSE00873,SNP002,Haryana,Electronics,0.9005,1
MSE00875,SNP024,Uttar Pradesh,Food & Beverage,0.9391,1
MSE00877,SNP007,Andhra Pradesh,Fashion,0.8506,1
MSE00881,SNP024,Rajasthan,Food & Beverage,0.8963,1
MSE00882,SNP004,Bihar,Agriculture,0.6792,1
MSE00883,SNP007,Gujarat,Fashion,0.6708,1
MSE00884,SNP008,Himachal Pradesh,Services,0.9191,1
MSE00885,SNP024,West Bengal,Food & Beverage,0.6429,1
MSE00887,SNP018,Uttar Pradesh,Handicrafts & Handloom,0.6574,1
MSE00890,SNP024,Assam,Food & Beverage,0.6892,1
MSE00891,SNP007,Maharashtra,Beauty & Personal Care,0.8259,1
MSE00892,SNP007,Tamil Nadu,Fashion,0.6288,1
MSE00895,SNP024,Meghalaya,Food & Beverage,0.9151,1
MSE00897,SNP017,Karnataka,Food & Beverage,0.8484,1
MSE00903,SNP012,Uttar Pradesh,Agriculture,0.6659,1
MSE00904,SNP002,West Bengal,Electronics,0.7629,1
MSE00907,SNP024,Chhattisgarh,Food & Beverage,0.7284,1
MSE00909,SNP007,Himachal Pradesh,Home & Kitchen,0.6437,1
MSE00910,SNP007,Telangana,Fashion,0.915,1
MSE00912,SNP017,Tamil Nadu,Food & Beverage,0.9175,1
MSE00919,SNP004,Jharkhand,Agriculture,0.7542,1
MSE00921,SNP024,Odisha,Food & Beverage,0.774,1
MSE00924,SNP024,Andhra Pradesh,Food & Beverage,0.9162,1
MSE00926,SNP007,Maharashtra,Fashion,0.8176,1
MSE00928,SNP008,Assam,Services,0.6796,1
MSE00930,SNP020,Rajasthan,Services,0.6719,1
MSE00935,SNP007,Punjab,Home & Kitchen,0.7653,1
MSE00938,SNP008,Odisha,Services,0.683,1
MSE00939,SNP004,West Bengal,Agriculture,0.8848,1
MSE00940,SNP017,Karnataka,Food & Beverage,0.8174,1
MSE00941,SNP007,Uttar Pradesh,Home & Kitchen,0.9158,1
MSE00942,SNP020,Maharashtra,Agriculture,0.8754,1
MSE00943,SNP004,Kerala,Agriculture,0.8129,1
MSE00947,SNP024,Rajasthan,Food & Beverage,0.8299,1
MSE00952,SNP007,Karnataka,Beauty & Personal Care,0.6917,1
MSE00953,SNP012,Uttar Pradesh,Agriculture,0.8484,1
MSE00955,SNP007,Maharashtra,Fashion,0.6594,1
MSE00957,SNP006,Tamil Nadu,Handicrafts & Handloom,0.8073,1
MSE00959,SNP007,Madhya Pradesh,Beauty & Personal Care,0.791,1
MSE00962,SNP008,Tamil Nadu,Services,0.8405,1
MSE00966,SNP008,Madhya Pradesh,Services,0.882,1
MSE00967,SNP007,Rajasthan,Home & Kitchen,0.805,1
MSE00969,SNP007,Delhi,Home & Kitchen,0.6509,1
MSE00970,SNP024,Gujarat,Food & Beverage,0.9386,1
MSE00975,SNP011,Madhya Pradesh,Agriculture,0.7539,1
