product_id,mse_id,state,district,category_l1,category_l2,product_name,description,price,quantity,is_handmade
PROD00019,MSE01025,West Bengal,Durgapur,Food & Beverage,Packaged Foods,Papad,Papad by Durgapur Enterprise 1025 in Durgapur.,182.05,500 gram,1
PROD00020,MSE03830,Haryana,Ambala,Fashion,Women's Apparel,Handloom Dupatta,Handloom Dupatta by Ambala Enterprise 3830 in Ambala.,633.15,2 piece,1
PROD00021,MSE03606,West Bengal,Howrah,Services,Digital Services,Web Development,Web Development by Howrah Enterprise 3606 in Howrah.,2191.65,500 gram,0
PROD00022,MSE04746,Tamil Nadu,Salem,Home & Kitchen,Home Decor,Kitchen Organizer,Kitchen Organizer by Salem Enterprise 4746 in Salem.,2718.94,1 kg,0
PROD00023,MSE04573,Gujarat,Ahmedabad,Home & Kitchen,Home Decor,Kitchen Organizer,Kitchen Organizer by Ahmedabad Enterprise 4573 in Ahmedabad.,1037.32,2 piece,0
PROD00024,MSE02105,Madhya Pradesh,Gwalior,Handicrafts & Handloom,Crafts,Wooden Craft,Wooden Craft by Gwalior Enterprise 2105 in Gwalior.,3418.75,1 kg,1
PROD00025,MSE01717,Haryana,Gurugram,Home & Kitchen,Home Decor,Kitchen Organizer,Kitchen Organizer by Gurugram Enterprise 1717 in Gurugram.,2596.77,250 ml,0
PROD00026,MSE04685,West Bengal,Siliguri,Fashion,Women's Apparel,Silk Stole,Silk Stole by Siliguri Enterprise 4685 in Siliguri.,2081.69,250 ml,1
PROD00027,MSE00290,Uttar Pradesh,Moradabad,Agriculture,Seeds,Herbal Saplings,Herbal Saplings by Moradabad Enterprise 290 in Moradabad.,230.78,250 ml,0
PROD00028,MSE02854,Kerala,Ernakulam,Handicrafts & Handloom,Crafts,Papier-mâché Decor,Papier-mâché Decor by Ernakulam Enterprise 2854 in Ernakulam.,4011.18,2 piece,1
PROD00029,MSE04476,Karnataka,Belagavi,Agriculture,Seeds,Herbal Saplings,Herbal Saplings by Belagavi Enterprise 4476 in Belagavi.,629.9,1 piece,0
PROD00030,MSE02389,Haryana,Ambala,Beauty & Personal Care,Skincare,Ayurvedic Balm,Ayurvedic Balm by Ambala Enterprise 2389 in Ambala.,952.6,1 kg,0
PROD00031,MSE04606,Maharashtra,Aurangabad,Services,Digital Services,Catalog Design,Catalog Design by Aurangabad Enterprise 4606 in Aurangabad.,5291.92,1 kg,0
PROD00032,MSE02793,Uttar Pradesh,Lucknow,Food & Beverage,Packaged Foods,Ready-to-Eat Snacks,Ready-to-Eat Snacks by Lucknow Enterprise 2793 in Lucknow.,114.58,1 kg,1
PROD00033,MSE01184,Karnataka,Hubballi,Fashion,Women's Apparel,Kurta Fabric,Kurta Fabric by Hubballi Enterprise 1184 in Hubballi.,1622.17,250 ml,1
PROD00034,MSE02663,West Bengal,Kolkata,Handicrafts & Handloom,Crafts,Papier-mâché Decor,Papier-mâché Decor by Kolkata Enterprise 2663 in Kolkata.,2624.81,2 piece,1
PROD00035,MSE03393,Haryana,Panipat,Fashion,Women's Apparel,Silk Stole,Silk Stole by Panipat Enterprise 3393 in Panipat.,2143.23,1 kg,1
PROD00036,MSE01936,West Bengal,Siliguri,Beauty & Personal Care,Skincare,Natural Soap,Natural Soap by Siliguri Enterprise 1936 in Siliguri.,650.03,250 ml,0
PROD00037,MSE04680,West Bengal,Howrah,Food & Beverage,Packaged Foods,Papad,Papad by Howrah Enterprise 4680 in Howrah.,165.42,250 ml,1
PROD00038,MSE00604,Maharashtra,Aurangabad,Electronics,Mobile & Accessories,Power Adapter,Power Adapter by Aurangabad Enterprise 604 in Aurangabad.,3345.41,1 piece,0
PROD00039,MSE00865,Maharashtra,Aurangabad,Fashion,Women's Apparel,Cotton Saree,Cotton Saree by Aurangabad Enterprise 865 in Aurangabad.,2811.02,1 piece,1
PROD00040,MSE04843,Kerala,Ernakulam,Fashion,Women's Apparel,Silk Stole,Silk Stole by Ernakulam Enterprise 4843 in Ernakulam.,417.27,500 gram,1
PROD00041,MSE02292,Kerala,Ernakulam,Electronics,Mobile & Accessories,Mobile Charger,Mobile Charger by Ernakulam Enterprise 2292 in Ernakulam.,6683.1,2 piece,0
PROD00042,MSE04451,Rajasthan,Jaipur,Handicrafts & Handloom,Crafts,Brass Lamp,Brass Lamp by Jaipur Enterprise 4451 in Jaipur.,3165.65,250 ml,1
PROD00043,MSE03443,Uttar Pradesh,Varanasi,Fashion,Women's Apparel,Silk Stole,Silk Stole by Varanasi Enterprise 3443 in Varanasi.,2114.59,2 piece,1
PROD00044,MSE01916,Gujarat,Bhavnagar,Home & Kitchen,Home Decor,Storage Rack,Storage Rack by Bhavnagar Enterprise 1916 in Bhavnagar.,485.17,200 gram,0
PROD00045,MSE00401,Rajasthan,Udaipur,Food & Beverage,Packaged Foods,Ready-to-Eat Snacks,Ready-to-Eat Snacks by Udaipur Enterprise 401 in Udaipur.,84.99,500 gram,1
PROD00046,MSE01293,Kerala,Ernakulam,Services,Digital Services,Digital Marketing,Digital Marketing by Ernakulam Enterprise 1293 in Ernakulam.,2396.35,200 gram,0
PROD00047,MSE04392,Maharashtra,Pune,Home & Kitchen,Home Decor,Decorative Shelf,Decorative Shelf by Pune Enterprise 4392 in Pune.,2274.92,250 ml,0
PROD00048,MSE01506,Tamil Nadu,Tiruppur,Handicrafts & Handloom,Crafts,Wooden Craft,Wooden Craft by Tiruppur Enterprise 1506 in Tiruppur.,4323.56,2 piece,1
PROD00049,MSE04401,Rajasthan,Kota,Services,Digital Services,Catalog Design,Catalog Design by Kota Enterprise 4401 in Kota.,5565.14,200 gram,0
PROD00050,MSE01175,Madhya Pradesh,Ujjain,Handicrafts & Handloom,Crafts,Papier-mâché Decor,Papier-mâché Decor by Ujjain Enterprise 1175 in Ujjain.,392.83,2 piece,1
PROD00051,MSE01354,Kerala,Kozhikode,Beauty & Personal Care,Skincare,Herbal Face Pack,Herbal Face Pack by Kozhikode Enterprise 1354 in Kozhikode.,258.69,1 kg,0
PROD00052,MSE03632,West Bengal,Asansol,Home & Kitchen,Home Decor,Storage Rack,Storage Rack by Asansol Enterprise 3632 in Asansol.,2072.01,2 piece,0
PROD00053,MSE03621,Tamil Nadu,Madurai,Food & Beverage,Packaged Foods,Ready-to-Eat Snacks,Ready-to-Eat Snacks by Madurai Enterprise 3621 in Madurai.,333.69,200 gram,1
PROD00054,MSE02482,Uttar Pradesh,Lucknow,Services,Digital Services,Digital Marketing,Digital Marketing by Lucknow Enterprise 2482 in Lucknow.,4277.36,200 gram,0
PROD00055,MSE01430,Haryana,Panipat,Food & Beverage,Packaged Foods,Papad,Papad by Panipat Enterprise 1430 in Panipat.,153.23,500 gram,1
PROD00056,MSE03913,Gujarat,Rajkot,Electronics,Mobile & Accessories,Power Adapter,Power Adapter by Rajkot Enterprise 3913 in Rajkot.,3813.4,250 ml,0
PROD00057,MSE02077,West Bengal,Asansol,Food & Beverage,Packaged Foods,Ready-to-Eat Snacks,Ready-to-Eat Snacks by Asansol Enterprise 2077 in Asansol.,312.66,2 piece,1
PROD00058,MSE01837,West Bengal,Siliguri,Electronics,Mobile & Accessories,Power Adapter,Power Adapter by Siliguri Enterprise 1837 in Siliguri.,8496.99,250 ml,0
PROD00059,MSE02892,Karnataka,Mangaluru,Fashion,Women's Apparel,Cotton Saree,Cotton Saree by Mangaluru Enterprise 2892 in Mangaluru.,1432.28,250 ml,1
PROD00060,MSE02297,Madhya Pradesh,Bhopal,Food & Beverage,Packaged Foods,Ready-to-Eat Snacks,Ready-to-Eat Snacks by Bhopal Enterprise 2297 in Bhopal.,91.53,1 piece,1
PROD00061,MSE01954,Kerala,Thiruvananthapuram,Food & Beverage,Packaged Foods,Mango Pickle,Mango Pickle by Thiruvananthapuram Enterprise 1954 in Thiruvananthapuram.,120.02,200 gram,1
PROD00062,MSE03990,West Bengal,Kolkata,Handicrafts & Handloom,Crafts,Papier-mâché Decor,Papier-mâché Decor by Kolkata Enterprise 3990 in Kolkata.,2259.58,2 piece,1
PROD00063,MSE00347,Rajasthan,Jodhpur,Home & Kitchen,Home Decor,Kitchen Organizer,Kitchen Organizer by Jodhpur Enterprise 347 in Jodhpur.,774.67,200 gram,0
PROD00064,MSE04171,Uttar Pradesh,Varanasi,Food & Beverage,Packaged Foods,Mango Pickle,Mango Pickle by Varanasi Enterprise 4171 in Varanasi.,310.85,2 piece,1
PROD00065,MSE00752,Uttar Pradesh,Agra,Home & Kitchen,Home Decor,Wooden Chair,Wooden Chair by Agra Enterprise 752 in Agra.,2844.69,1 kg,0
PROD00066,MSE00304,Gujarat,Bhavnagar,Handicrafts & Handloom,Crafts,Wooden Craft,Wooden Craft by Bhavnagar Enterprise 304 in Bhavnagar.,2992.36,1 kg,1
PROD00067,MSE00241,Uttar Pradesh,Lucknow,Food & Beverage,Packaged Foods,Papad,Papad by Lucknow Enterprise 241 in Lucknow.,227.73,1 piece,1
PROD00068,MSE04139,Kerala,Kozhikode,Food & Beverage,Packaged Foods,Masala Mix,Masala Mix by Kozhikode Enterprise 4139 in Kozhikode.,285.61,1 piece,1
PROD00069,MSE04157,Gujarat,Surat,Services,Digital Services,IT Support,IT Support by Surat Enterprise 4157 in Surat.,4194.93,200 gram,0
PROD00070,MSE02835,Uttar Pradesh,Moradabad,Services,Digital Services,Digital Marketing,Digital Marketing by Moradabad Enterprise 2835 in Moradabad.,3387.82,250 ml,0
PROD00071,MSE01449,Karnataka,Bengaluru Urban,Food & Beverage,Packaged Foods,Papad,Papad by Bengaluru Urban Enterprise 1449 in Bengaluru Urban.,413.7,200 gram,1
PROD00072,MSE00530,Madhya Pradesh,Jabalpur,Electronics,Mobile & Accessories,Power Adapter,Power Adapter by Jabalpur Enterprise 530 in Jabalpur.,2131.25,2 piece,0
PROD00073,MSE03511,Madhya Pradesh,Indore,Fashion,Women's Apparel,Silk Stole,Silk Stole by Indore Enterprise 3511 in Indore.,1005.49,1 kg,1
PROD00074,MSE00888,Karnataka,Mysuru,Beauty & Personal Care,Skincare,Essential Oil,Essential Oil by Mysuru Enterprise 888 in Mysuru.,806.36,200 gram,0
PROD00075,MSE01805,Maharashtra,Pune,Fashion,Women's Apparel,Handloom Dupatta,Handloom Dupatta by Pune Enterprise 1805 in Pune.,2676.7,2 piece,1
PROD00076,MSE00221,West Bengal,Howrah,Food & Beverage,Packaged Foods,Ready-to-Eat Snacks,Ready-to-Eat Snacks by Howrah Enterprise 221 in Howrah.,388.35,250 ml,1
PROD00077,MSE02767,Madhya Pradesh,Indore,Agriculture,Seeds,Compost,Compost by Indore Enterprise 2767 in Indore.,954.18,2 piece,0
PROD00078,MSE00673,Uttar Pradesh,Kanpur Nagar,Agriculture,Seeds,Vegetable Seeds,Vegetable Seeds by Kanpur Nagar Enterprise 673 in Kanpur Nagar.,245.99,1 piece,0
PROD00079,MSE00427,Kerala,Thrissur,Agriculture,Seeds,Herbal Saplings,Herbal Saplings by Thrissur Enterprise 427 in Thrissur.,943.17,200 gram,0
PROD00080,MSE04602,Gujarat,Bhavnagar,Home & Kitchen,Home Decor,Decorative Shelf,Decorative Shelf by Bhavnagar Enterprise 4602 in Bhavnagar.,2404.83,250 ml,0
PROD00081,MSE04209,Gujarat,Ahmedabad,Food & Beverage,Packaged Foods,Papad,Papad by Ahmedabad Enterprise 4209 in Ahmedabad.,130.21,250 ml,1
PROD00082,MSE01966,Maharashtra,Nashik,Food & Beverage,Packaged Foods,Ready-to-Eat Snacks,Ready-to-Eat Snacks by Nashik Enterprise 1966 in Nashik.,166.05,1 kg,1
PROD00083,MSE03276,Uttar Pradesh,Lucknow,Agriculture,Seeds,Organic Fertilizer,Organic Fertilizer by Lucknow Enterprise 3276 in Lucknow.,785.55,2 piece,0
PROD00084,MSE04191,Gujarat,Vadodara,Fashion,Women's Apparel,Silk Stole,Silk Stole by Vadodara Enterprise 4191 in Vadodara.,693.44,250 ml,1
PROD00085,MSE01046,Karnataka,Hubballi,Services,Digital Services,Digital Marketing,Digital Marketing by Hubballi Enterprise 1046 in Hubballi.,3839.32,1 kg,0
PROD00086,MSE01217,West Bengal,Durgapur,Food & Beverage,Packaged Foods,Mango Pickle,Mango Pickle by Durgapur Enterprise 1217 in Durgapur.,237.46,500 gram,1
PROD00087,MSE02095,Kerala,Kozhikode,Home & Kitchen,Home Decor,Storage Rack,Storage Rack by Kozhikode Enterprise 2095 in Kozhikode.,2912.55,200 gram,0
PROD00088,MSE00293,West Bengal,Howrah,Home & Kitchen,Home Decor,Storage Rack,Storage Rack by Howrah Enterprise 293 in Howrah.,395.94,200 gram,0
PROD00089,MSE03897,Kerala,Kozhikode,Food & Beverage,Packaged Foods,Ready-to-Eat Snacks,Ready-to-Eat Snacks by Kozhikode Enterprise 3897 in Kozhikode.,265.72,1 kg,1
PROD00090,MSE03658,Kerala,Thrissur,Beauty & Personal Care,Skincare,Essential Oil,Essential Oil by Thrissur Enterprise 3658 in Thrissur.,936.67,250 ml,0
PROD00091,MSE03983,Karnataka,Mysuru,Home & Kitchen,Home Decor,Storage Rack,Storage Rack by Mysuru Enterprise 3983 in Mysuru.,2721.05,1 kg,0
PROD00092,MSE02658,Uttar Pradesh,Moradabad,Home & Kitchen,Home Decor,Wooden Chair,Wooden Chair by Moradabad Enterprise 2658 in Moradabad.,2912.58,500 gram,0
PROD00093,MSE04436,Haryana,Gurugram,Food & Beverage,Packaged Foods,Mango Pickle,Mango Pickle by Gurugram Enterprise 4436 in Gurugram.,197.28,1 kg,1
PROD00094,MSE04917,Uttar Pradesh,Kanpur Nagar,Food & Beverage,Packaged Foods,Ready-to-Eat Snacks,Ready-to-Eat Snacks by Kanpur Nagar Enterprise 4917 in Kanpur Nagar.,108.07,1 kg,1
PROD00095,MSE02574,Haryana,Faridabad,Agriculture,Seeds,Organic Fertilizer,Organic Fertilizer by Faridabad Enterprise 2574 in Faridabad.,266.6,1 kg,0
PROD00096,MSE02203,West Bengal,Howrah,Food & Beverage,Packaged Foods,Papad,Papad by Howrah Enterprise 2203 in Howrah.,320.42,1 kg,1
PROD00097,MSE03808,Kerala,Kozhikode,Handicrafts & Handloom,Crafts,Papier-mâché Decor,Papier-mâché Decor by Kozhikode Enterprise 3808 in Kozhikode.,1146.17,1 kg,1
PROD00098,MSE04446,Tamil Nadu,Salem,Food & Beverage,Packaged Foods,Mango Pickle,Mango Pickle by Salem Enterprise 4446 in Salem.,377.75,2 piece,1
PROD00099,MSE00740,Maharashtra,Aurangabad,Home & Kitchen,Home Decor,Decorative Shelf,Decorative Shelf by Aurangabad Enterprise 740 in Aurangabad.,1384.5,2 piece,0
PROD00100,MSE01907,Madhya Pradesh,Bhopal,Food & Beverage,Packaged Foods,Masala Mix,Masala Mix by Bhopal Enterprise 1907 in Bhopal.,364.15,1 kg,1
PROD00101,MSE04650,Tamil Nadu,Chennai,Food & Beverage,Packaged Foods,Ready-to-Eat Snacks,Ready-to-Eat Snacks by Chennai Enterprise 4650 in Chennai.,286.75,2 piece,1
PROD00102,MSE04259,Karnataka,Mangaluru,Home & Kitchen,Home Decor,Decorative Shelf,Decorative Shelf by Mangaluru Enterprise 4259 in Mangaluru.,3201.95,250 ml,0
PROD00103,MSE04477,Uttar Pradesh,Varanasi,Home & Kitchen,Home Decor,Wooden Chair,Wooden Chair by Varanasi Enterprise 4477 in Varanasi.,481.67,250 ml,0
PROD00104,MSE00942,Haryana,Faridabad,Home & Kitchen,Home Decor,Wooden Chair,Wooden Chair by Faridabad Enterprise 942 in Faridabad.,1714.39,200 gram,0
PROD00105,MSE01611,Rajasthan,Udaipur,Agriculture,Seeds,Compost,Compost by Udaipur Enterprise 1611 in Udaipur.,221.23,1 kg,0
PROD00106,MSE00860,Kerala,Thrissur,Food & Beverage,Packaged Foods,Masala Mix,Masala Mix by Thrissur Enterprise 860 in Thrissur.,359.6,200 gram,1
PROD00107,MSE03995,Madhya Pradesh,Gwalior,Home & Kitchen,Home Decor,Storage Rack,Storage Rack by Gwalior Enterprise 3995 in Gwalior.,528.8,1 kg,0
PROD00108,MSE00750,Karnataka,Mangaluru,Food & Beverage,Packaged Foods,Masala Mix,Masala Mix by Mangaluru Enterprise 750 in Mangaluru.,217.38,500 gram,1
PROD00109,MSE03781,Haryana,Ambala,Agriculture,Seeds,Organic Fertilizer,Organic Fertilizer by Ambala Enterprise 3781 in Ambala.,750.82,250 ml,0
PROD00110,MSE03705,Madhya Pradesh,Bhopal,Food & Beverage,Packaged Foods,Papad,Papad by Bhopal Enterprise 3705 in Bhopal.,164.98,2 piece,1
PROD00111,MSE03552,Madhya Pradesh,Gwalior,Home & Kitchen,Home Decor,Decorative Shelf,Decorative Shelf by Gwalior Enterprise 3552 in Gwalior.,2482.98,1 piece,0
PROD00112,MSE02468,Madhya Pradesh,Ujjain,Handicrafts & Handloom,Crafts,Brass Lamp,Brass Lamp by Ujjain Enterprise 2468 in Ujjain.,807.98,2 piece,1
PROD00113,MSE00061,Maharashtra,Pune,Home & Kitchen,Home Decor,Storage Rack,Storage Rack by Pune Enterprise 61 in Pune.,2862.72,200 gram,0
PROD00114,MSE00235,Haryana,Ambala,Beauty & Personal Care,Skincare,Herbal Face Pack,Herbal Face Pack by Ambala Enterprise 235 in Ambala.,1713.46,200 gram,0
PROD00115,MSE04884,Karnataka,Bengaluru Urban,Agriculture,Seeds,Vegetable Seeds,Vegetable Seeds by Bengaluru Urban Enterprise 4884 in Bengaluru Urban.,878.09,500 gram,0
PROD00116,MSE01726,West Bengal,Asansol,Home & Kitchen,Home Decor,Decorative Shelf,Decorative Shelf by Asansol Enterprise 1726 in Asansol.,3273.15,500 gram,0
PROD00117,MSE01639,West Bengal,Howrah,Fashion,Women's Apparel,Handloom Dupatta,Handloom Dupatta by Howrah Enterprise 1639 in Howrah.,2173.69,250 ml,1
PROD00118,MSE04043,Gujarat,Ahmedabad,Home & Kitchen,Home Decor,Kitchen Organizer,Kitchen Organizer by Ahmedabad Enterprise 4043 in Ahmedabad.,664.17,200 gram,0
PROD00119,MSE03890,Tamil Nadu,Coimbatore,Beauty & Personal Care,Skincare,Essential Oil,Essential Oil by Coimbatore Enterprise 3890 in Coimbatore.,267.64,1 piece,0
PROD00120,MSE03296,Uttar Pradesh,Kanpur Nagar,Handicrafts & Handloom,Crafts,Wooden Craft,Wooden Craft by Kanpur Nagar Enterprise 3296 in Kanpur Nagar.,645.4,500 gram,1
PROD00121,MSE00944,Maharashtra,Aurangabad,Services,Digital Services,IT Support,IT Support by Aurangabad Enterprise 944 in Aurangabad.,3979.49,500 gram,0
PROD00122,MSE02039,Rajasthan,Jodhpur,Services,Digital Services,Catalog Design,Catalog Design by Jodhpur Enterprise 2039 in Jodhpur.,3129.52,200 gram,0
PROD00123,MSE04113,West Bengal,Asansol,Food & Beverage,Packaged Foods,Mango Pickle,Mango Pickle by Asansol Enterprise 4113 in Asansol.,123.19,2 piece,1
PROD00124,MSE00191,Uttar Pradesh,Kanpur Nagar,Services,Digital Services,Web Development,Web Development by Kanpur Nagar Enterprise 191 in Kanpur Nagar.,612.06,500 gram,0
PROD00125,MSE02168,Madhya Pradesh,Gwalior,Fashion,Women's Apparel,Silk Stole,Silk Stole by Gwalior Enterprise 2168 in Gwalior.,546.35,2 piece,1
PROD00126,MSE00244,Madhya Pradesh,Bhopal,Home & Kitchen,Home Decor,Kitchen Organizer,Kitchen Organizer by Bhopal Enterprise 244 in Bhopal.,2315.09,200 gram,0
PROD00127,MSE00739,Karnataka,Mysuru,Fashion,Women's Apparel,Handloom Dupatta,Handloom Dupatta by Mysuru Enterprise 739 in Mysuru.,1403.94,1 kg,1
PROD00128,MSE03645,Rajasthan,Udaipur,Services,Digital Services,Catalog Design,Catalog Design by Udaipur Enterprise 3645 in Udaipur.,5532.96,1 piece,0
PROD00129,MSE02198,Gujarat,Vadodara,Fashion,Women's Apparel,Cotton Saree,Cotton Saree by Vadodara Enterprise 2198 in Vadodara.,1379.33,2 piece,1
PROD00130,MSE01663,Karnataka,Hubballi,Agriculture,Seeds,Compost,Compost by Hubballi Enterprise 1663 in Hubballi.,568.93,1 kg,0
PROD00131,MSE02622,Maharashtra,Nagpur,Home & Kitchen,Home Decor,Storage Rack,Storage Rack by Nagpur Enterprise 2622 in Nagpur.,2129.24,1 kg,0
PROD00132,MSE01848,Madhya Pradesh,Indore,Food & Beverage,Packaged Foods,Mango Pickle,Mango Pickle by Indore Enterprise 1848 in Indore.,356.98,250 ml,1
PROD00133,MSE04213,Karnataka,Mangaluru,Home & Kitchen,Home Decor,Decorative Shelf,Decorative Shelf by Mangaluru Enterprise 4213 in Mangaluru.,842.6,500 gram,0
PROD00134,MSE02845,Maharashtra,Nashik,Home & Kitchen,Home Decor,Kitchen Organizer,Kitchen Organizer by Nashik Enterprise 2845 in Nashik.,310.29,200 gram,0
PROD00135,MSE00602,Tamil Nadu,Coimbatore,Fashion,Women's Apparel,Cotton Saree,Cotton Saree by Coimbatore Enterprise 602 in Coimbatore.,2222.8,1 kg,1
PROD00136,MSE03946,Tamil Nadu,Coimbatore,Home & Kitchen,Home Decor,Kitchen Organizer,Kitchen Organizer by Coimbatore Enterprise 3946 in Coimbatore.,1642.18,1 piece,0
PROD00137,MSE01051,Madhya Pradesh,Jabalpur,Home & Kitchen,Home Decor,Kitchen Organizer,Kitchen Organizer by Jabalpur Enterprise 1051 in Jabalpur.,2174.87,1 piece,0
PROD00138,MSE04999,Kerala,Thiruvananthapuram,Handicrafts & Handloom,Crafts,Brass Lamp,Brass Lamp by Thiruvananthapuram Enterprise 4999 in Thiruvananthapuram.,1224.57,1 kg,1
PROD00139,MSE04464,Haryana,Panipat,Food & Beverage,Packaged Foods,Masala Mix,Masala Mix by Panipat Enterprise 4464 in Panipat.,85.35,2 piece,1
PROD00140,MSE00228,West Bengal,Kolkata,Services,Digital Services,Web Development,Web Development by Kolkata Enterprise 228 in Kolkata.,5055.2,500 gram,0
PROD00141,MSE04977,Uttar Pradesh,Agra,Fashion,Women's Apparel,Silk Stole,Silk Stole by Agra Enterprise 4977 in Agra.,2136.77,1 kg,1
PROD00142,MSE04955,Maharashtra,Nashik,Food & Beverage,Packaged Foods,Ready-to-Eat Snacks,Ready-to-Eat Snacks by Nashik Enterprise 4955 in Nashik.,170.45,2 piece,1
PROD00143,MSE03113,Madhya Pradesh,Indore,Food & Beverage,Packaged Foods,Masala Mix,Masala Mix by Indore Enterprise 3113 in Indore.,417.91,2 piece,1
PROD00144,MSE01890,Gujarat,Ahmedabad,Home & Kitchen,Home Decor,Decorative Shelf,Decorative Shelf by Ahmedabad Enterprise 1890 in Ahmedabad.,1546.67,2 piece,0
PROD00145,MSE04652,Kerala,Kottayam,Fashion,Women's Apparel,Handloom Dupatta,Handloom Dupatta by Kottayam Enterprise 4652 in Kottayam.,2414.03,2 piece,1
PROD00146,MSE00494,Madhya Pradesh,Bhopal,Home & Kitchen,Home Decor,Kitchen Organizer,Kitchen Organizer by Bhopal Enterprise 494 in Bhopal.,2597.7,1 kg,0
PROD00147,MSE01010,Uttar Pradesh,Varanasi,Fashion,Women's Apparel,Cotton Saree,Cotton Saree by Varanasi Enterprise 1010 in Varanasi.,1167.98,250 ml,1
PROD00148,MSE00013,Kerala,Thiruvananthapuram,Food & Beverage,Packaged Foods,Ready-to-Eat Snacks,Ready-to-Eat Snacks by Thiruvananthapuram Enterprise 13 in Thiruvananthapuram.,176.54,1 piece,1
PROD00149,MSE04985,Madhya Pradesh,Bhopal,Services,Digital Services,Digital Marketing,Digital Marketing by Bhopal Enterprise 4985 in Bhopal.,4927.03,250 ml,0
PROD00150,MSE00883,Maharashtra,Nagpur,Handicrafts & Handloom,Crafts,Brass Lamp,Brass Lamp by Nagpur Enterprise 883 in Nagpur.,2510.07,500 gram,1
PROD00151,MSE03582,Tamil Nadu,Chennai,Food & Beverage,Packaged Foods,Masala Mix,Masala Mix by Chennai Enterprise 3582 in Chennai.,195.22,1 kg,1
PROD00152,MSE00632,Karnataka,Hubballi,Services,Digital Services,Web Development,Web Development by Hubballi Enterprise 632 in Hubballi.,1552.6,500 gram,0
PROD00153,MSE03419,Karnataka,Mangaluru,Agriculture,Seeds,Compost,Compost by Mangaluru Enterprise 3419 in Mangaluru.,998.34,1 piece,0
PROD00154,MSE02232,Kerala,Kottayam,Food & Beverage,Packaged Foods,Mango Pickle,Mango Pickle by Kottayam Enterprise 2232 in Kottayam.,315.37,200 gram,1
PROD00155,MSE02183,Tamil Nadu,Salem,Home & Kitchen,Home Decor,Kitchen Organizer,Kitchen Organizer by Salem Enterprise 2183 in Salem.,500.86,1 piece,0
