mse_id,udyam_number,enterprise_name,owner_name,owner_gender,is_women_owned,enterprise_type,major_activity,state,district,tier,social_category,nic_2digit,nic_5digit,nic_description,sector,category_l1,language_preference,turnover_lakh,investment_lakh,products_services,registration_month,registered,catalog_created,snp_matched,live,first_order
MSE00011,UDYAM-WB-01-0000011,Kolkata Enterprise 11,Owner 11,Female,1,Micro,Manufacturing,West Bengal,Kolkata,1,SC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,bn,81.29,24.04,Masala Mix|Papad,4,1,1,1,1,1
MSE00012,UDYAM-TN-03-0000012,Madurai Enterprise 12,Owner 12,Male,0,Micro,Manufacturing,Tamil Nadu,Madurai,2,OBC,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,ta,47.26,27.14,Handloom Dupatta|Silk Stole,5,1,1,1,1,1
MSE00013,UDYAM-WB-01-0000013,Kolkata Enterprise 13,Owner 13,Male,0,Micro,Manufacturing,West Bengal,Kolkata,1,General,26,26101,Manufacture of electronic components,electronics,Electronics,bn,65.82,28.42,Earphones|Power Adapter|Mobile Charger,2,1,0,0,0,0
MSE00014,UDYAM-HR-02-0000014,Faridabad Enterprise 14,Owner 14,Male,0,Small,Manufacturing,Haryana,Faridabad,2,SC,01,01300,Crop and animal production,agriculture,Agriculture,hi,870.87,206.46,Organic Fertilizer|Compost|Vegetable Seeds,2,1,1,1,0,0
MSE00015,UDYAM-UP-03-0000015,Varanasi Enterprise 15,Owner 15,Male,0,Micro,Services,Uttar Pradesh,Varanasi,3,OBC,62,62011,"Writing, modifying, testing of computer programs",services,Services,hi,9.23,6.88,IT Support|Digital Marketing,4,1,0,0,0,0
MSE00016,UDYAM-TN-01-0000016,Chennai Enterprise 16,Owner 16,Male,0,Micro,Manufacturing,Tamil Nadu,Chennai,1,OBC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,en,67.4,22.71,Masala Mix|Mango Pickle,2,1,0,0,0,0
MSE00017,UDYAM-KA-02-0000017,Mysuru Enterprise 17,Owner 17,Female,1,Micro,Manufacturing,Karnataka,Mysuru,2,General,31,31001,Manufacture of furniture,others,Home & Kitchen,kn,62.23,23.11,Storage Rack|Wooden Chair,3,1,1,1,1,1
MSE00018,UDYAM-MP-03-0000018,Jabalpur Enterprise 18,Owner 18,Female,1,Micro,Manufacturing,Madhya Pradesh,Jabalpur,3,General,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,hi,83.52,31.48,Cotton Saree,5,1,1,1,1,0
MSE00019,UDYAM-OD-01-0000019,Khordha Enterprise 19,Owner 19,Female,1,Micro,Manufacturing,Odisha,Khordha,3,General,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,45.01,21.05,Papad|Mango Pickle|Masala Mix,5,1,1,1,1,1
MSE00020,UDYAM-DL-02-0000020,North West Delhi Enterprise 20,Owner 20,Female,1,Micro,Manufacturing,Delhi,North West Delhi,3,OBC,31,31001,Manufacture of furniture,others,Home & Kitchen,hi,53.18,22.45,Kitchen Organizer|Storage Rack,6,1,1,1,1,1
MSE00021,UDYAM-UP-01-0000021,Lucknow Enterprise 21,Owner 21,Female,1,Micro,Manufacturing,Uttar Pradesh,Lucknow,1,General,01,01300,Crop and animal production,agriculture,Agriculture,hi,64.17,20.77,Vegetable Seeds,1,1,0,0,0,0
MSE00022,UDYAM-UP-03-0000022,Varanasi Enterprise 22,Owner 22,Female,1,Micro,Manufacturing,Uttar Pradesh,Varanasi,3,SC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,38.6,33.61,Mango Pickle,3,1,0,0,0,0
MSE00023,UDYAM-BR-01-0000023,Patna Enterprise 23,Owner 23,Female,1,Small,Manufacturing,Bihar,Patna,1,OBC,31,31001,Manufacture of furniture,others,Home & Kitchen,hi,359.34,133.11,Kitchen Organizer,5,1,1,1,1,0
MSE00024,UDYAM-GJ-01-0000024,Ahmedabad Enterprise 24,Owner 24,Female,1,Small,Manufacturing,Gujarat,Ahmedabad,1,General,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,806.04,250.24,Mango Pickle,5,1,1,1,1,1
MSE00025,UDYAM-BR-02-0000025,Gaya Enterprise 25,Owner 25,Female,1,Micro,Manufacturing,Bihar,Gaya,3,General,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,hi,9.21,41.86,Kurta Fabric,5,1,0,0,0,0
MSE00026,UDYAM-ML-02-0000026,Ri-Bhoi Enterprise 26,Owner 26,Male,0,Micro,Manufacturing,Meghalaya,Ri-Bhoi,3,SC,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,en,34.96,6.32,Cotton Saree|Silk Stole,2,1,1,0,0,0
MSE00027,UDYAM-MH-02-0000027,Pune Enterprise 27,Owner 27,Female,1,Small,Manufacturing,Maharashtra,Pune,1,OBC,31,31001,Manufacture of furniture,others,Home & Kitchen,en,728.51,61.78,Decorative Shelf|Kitchen Organizer,4,1,1,1,1,1
MSE00028,UDYAM-UP-03-0000028,Varanasi Enterprise 28,Owner 28,Other,0,Micro,Manufacturing,Uttar Pradesh,Varanasi,3,OBC,31,31001,Manufacture of furniture,others,Home & Kitchen,hi,33.39,39.57,Kitchen Organizer,4,1,1,1,0,0
MSE00029,UDYAM-RJ-02-0000029,Jodhpur Enterprise 29,Owner 29,Female,1,Micro,Manufacturing,Rajasthan,Jodhpur,2,General,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,hi,35.74,43.54,Wooden Craft|Brass Lamp|Papier-mache Decor,4,1,1,1,1,0
MSE00030,UDYAM-AP-01-0000030,Visakhapatnam Enterprise 30,Owner 30,Male,0,Micro,Manufacturing,Andhra Pradesh,Visakhapatnam,1,OBC,20,20232,Manufacture of perfumes and toilet preparations,health_beauty,Beauty & Personal Care,te,53.46,29.46,Herbal Face Pack,1,1,0,0,0,0
MSE00031,UDYAM-CT-02-0000031,Bilaspur Enterprise 31,Owner 31,Other,0,Micro,Manufacturing,Chhattisgarh,Bilaspur,3,General,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,hi,44.13,19.35,Silk Stole,5,1,1,1,1,1
MSE00032,UDYAM-AP-01-0000032,Visakhapatnam Enterprise 32,Owner 32,Male,0,Micro,Services,Andhra Pradesh,Visakhapatnam,1,SC,62,62011,"Writing, modifying, testing of computer programs",services,Services,te,32.08,24.03,IT Support|Digital Marketing|Web Development,6,1,1,1,0,0
MSE00033,UDYAM-RJ-03-0000033,Udaipur Enterprise 33,Owner 33,Other,0,Small,Manufacturing,Rajasthan,Udaipur,3,SC,01,01300,Crop and animal production,agriculture,Agriculture,hi,862.19,305.37,Organic Fertilizer,4,1,0,0,0,0
MSE00034,UDYAM-RJ-02-0000034,Jodhpur Enterprise 34,Owner 34,Female,1,Micro,Services,Rajasthan,Jodhpur,2,Minority,62,62011,"Writing, modifying, testing of computer programs",services,Services,hi,13.07,12.2,Catalog Design|Web Development|IT Support,6,1,1,1,0,0
MSE00035,UDYAM-BR-02-0000035,Gaya Enterprise 35,Owner 35,Male,0,Micro,Manufacturing,Bihar,Gaya,3,SC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,39.24,31.3,Masala Mix|Mango Pickle|Papad,6,1,1,1,1,0
MSE00036,UDYAM-RJ-01-0000036,Jaipur Enterprise 36,Owner 36,Male,0,Micro,Manufacturing,Rajasthan,Jaipur,1,OBC,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,hi,90.69,39.43,Silk Stole,4,1,0,0,0,0
MSE00037,UDYAM-KA-03-0000037,Belagavi Enterprise 37,Owner 37,Female,1,Micro,Manufacturing,Karnataka,Belagavi,3,General,31,31001,Manufacture of furniture,others,Home & Kitchen,kn,34.02,27.15,Wooden Chair|Kitchen Organizer,5,1,1,1,1,0
MSE00038,UDYAM-RJ-03-0000038,Udaipur Enterprise 38,Owner 38,Other,0,Micro,Manufacturing,Rajasthan,Udaipur,3,General,31,31001,Manufacture of furniture,others,Home & Kitchen,hi,41.11,46.3,Kitchen Organizer,3,1,1,1,1,0
MSE00039,UDYAM-MH-01-0000039,Mumbai Enterprise 39,Owner 39,Female,1,Small,Manufacturing,Maharashtra,Mumbai,1,ST,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,hi,330.07,62.89,Terracotta Pot,2,1,1,0,0,0
MSE00040,UDYAM-TN-01-0000040,Chennai Enterprise 40,Owner 40,Male,0,Micro,Manufacturing,Tamil Nadu,Chennai,1,OBC,26,26101,Manufacture of electronic components,electronics,Electronics,en,92.63,10.68,Earphones|Power Adapter,6,1,1,1,1,1
MSE00041,UDYAM-UK-02-0000041,Haridwar Enterprise 41,Owner 41,Female,1,Micro,Manufacturing,Uttarakhand,Haridwar,3,General,20,20232,Manufacture of perfumes and toilet preparations,health_beauty,Beauty & Personal Care,hi,35.38,8.66,Essential Oil|Ayurvedic Balm,6,1,1,1,1,0
MSE00042,UDYAM-WB-01-0000042,Kolkata Enterprise 42,Owner 42,Female,1,Micro,Manufacturing,West Bengal,Kolkata,1,General,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,hi,54.3,29.58,Papier-mache Decor|Brass Lamp,2,1,1,1,1,1
MSE00043,UDYAM-UP-03-0000043,Varanasi Enterprise 43,Owner 43,Male,0,Small,Manufacturing,Uttar Pradesh,Varanasi,3,SC,01,01300,Crop and animal production,agriculture,Agriculture,hi,203.44,197.06,Herbal Saplings,5,1,1,1,1,1
MSE00044,UDYAM-BR-02-0000044,Gaya Enterprise 44,Owner 44,Male,0,Micro,Services,Bihar,Gaya,3,General,62,62011,"Writing, modifying, testing of computer programs",services,Services,hi,31.08,32.46,Catalog Design|Web Development|IT Support,2,1,1,1,1,1
MSE00045,UDYAM-MH-03-0000045,Nagpur Enterprise 45,Owner 45,Male,0,Micro,Manufacturing,Maharashtra,Nagpur,2,ST,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,mr,27.15,33.7,Ready-to-Eat Snacks|Papad|Masala Mix,2,1,1,1,1,0
MSE00046,UDYAM-MH-02-0000046,Pune Enterprise 46,Owner 46,Female,1,Small,Manufacturing,Maharashtra,Pune,1,General,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,hi,598.58,278.19,Brass Lamp,3,1,1,1,1,1
MSE00047,UDYAM-AP-02-0000047,Vijayawada Enterprise 47,Owner 47,Other,0,Micro,Manufacturing,Andhra Pradesh,Vijayawada,3,General,31,31001,Manufacture of furniture,others,Home & Kitchen,en,36.86,8.6,Storage Rack|Kitchen Organizer,6,1,1,1,1,0
MSE00048,UDYAM-TS-02-0000048,Warangal Enterprise 48,Owner 48,Other,0,Micro,Manufacturing,Telangana,Warangal,2,Minority,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,en,16.27,37.29,Masala Mix,4,1,1,1,1,0
MSE00049,UDYAM-PB-03-0000049,Jalandhar Enterprise 49,Owner 49,Other,0,Micro,Manufacturing,Punjab,Jalandhar,3,General,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,88.29,35.32,Papad|Ready-to-Eat Snacks|Masala Mix,1,1,1,1,1,1
MSE00050,UDYAM-UP-03-0000050,Varanasi Enterprise 50,Owner 50,Male,0,Micro,Manufacturing,Uttar Pradesh,Varanasi,3,OBC,26,26101,Manufacture of electronic components,electronics,Electronics,hi,73.88,31.27,Power Adapter|Mobile Charger|Earphones,4,1,1,0,0,0
MSE00051,UDYAM-MH-02-0000051,Pune Enterprise 51,Owner 51,Female,1,Small,Manufacturing,Maharashtra,Pune,1,General,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,hi,343.68,245.35,Handloom Dupatta,4,1,1,1,1,1
MSE00052,UDYAM-NL-01-0000052,Kohima Enterprise 52,Owner 52,Female,1,Micro,Manufacturing,Nagaland,Kohima,3,ST,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,en,25.95,32.96,Masala Mix,6,1,1,1,1,1
MSE00053,UDYAM-UP-03-0000053,Varanasi Enterprise 53,Owner 53,Female,1,Micro,Manufacturing,Uttar Pradesh,Varanasi,3,SC,31,31001,Manufacture of furniture,others,Home & Kitchen,hi,11.87,27.31,Storage Rack|Wooden Chair|Kitchen Organizer,2,1,1,1,0,0
MSE00054,UDYAM-TN-02-0000054,Coimbatore Enterprise 54,Owner 54,Male,0,Micro,Manufacturing,Tamil Nadu,Coimbatore,1,SC,26,26101,Manufacture of electronic components,electronics,Electronics,en,50.48,17.04,Earphones|Mobile Charger|Power Adapter,1,1,1,1,1,0
MSE00055,UDYAM-UP-02-0000055,Kanpur Nagar Enterprise 55,Owner 55,Female,1,Micro,Manufacturing,Uttar Pradesh,Kanpur Nagar,2,OBC,31,31001,Manufacture of furniture,others,Home & Kitchen,hi,52.57,35.68,Decorative Shelf|Wooden Chair,6,1,1,1,1,0
MSE00056,UDYAM-GJ-03-0000056,Rajkot Enterprise 56,Owner 56,Other,0,Micro,Manufacturing,Gujarat,Rajkot,3,General,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,hi,35.66,17.62,Kurta Fabric|Handloom Dupatta|Cotton Saree,5,1,1,0,0,0
MSE00057,UDYAM-AN-01-0000057,South Andaman Enterprise 57,Owner 57,Female,1,Small,Manufacturing,Andaman & Nicobar,South Andaman,3,ST,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,962.01,58.95,Ready-to-Eat Snacks|Masala Mix,6,1,1,1,0,0
MSE00058,UDYAM-RJ-01-0000058,Jaipur Enterprise 58,Owner 58,Female,1,Small,Manufacturing,Rajasthan,Jaipur,1,SC,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,hi,697.07,315.61,Handloom Dupatta|Silk Stole|Kurta Fabric,6,1,1,1,1,0
MSE00059,UDYAM-MP-01-0000059,Indore Enterprise 59,Owner 59,Other,0,Micro,Manufacturing,Madhya Pradesh,Indore,1,OBC,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,hi,77.37,38.76,Handloom Dupatta,6,1,1,1,0,0
MSE00060,UDYAM-AP-02-0000060,Vijayawada Enterprise 60,Owner 60,Male,0,Micro,Manufacturing,Andhra Pradesh,Vijayawada,3,OBC,01,01300,Crop and animal production,agriculture,Agriculture,en,47.78,10.58,Organic Fertilizer|Vegetable Seeds,4,1,1,1,1,0
MSE00061,UDYAM-AP-02-0000061,Vijayawada Enterprise 61,Owner 61,Female,1,Small,Services,Andhra Pradesh,Vijayawada,3,OBC,62,62011,"Writing, modifying, testing of computer programs",services,Services,en,180.95,260.92,Web Development|Digital Marketing|IT Support,6,1,1,0,0,0
MSE00062,UDYAM-GJ-01-0000062,Ahmedabad Enterprise 62,Owner 62,Male,0,Micro,Manufacturing,Gujarat,Ahmedabad,1,OBC,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,gu,58.98,34.41,Papier-mache Decor|Brass Lamp|Terracotta Pot,3,1,0,0,0,0
MSE00063,UDYAM-KA-02-0000063,Mysuru Enterprise 63,Owner 63,Female,1,Micro,Manufacturing,Karnataka,Mysuru,2,General,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,kn,44.79,21.92,Papier-mache Decor|Terracotta Pot,3,1,0,0,0,0
MSE00064,UDYAM-UP-01-0000064,Lucknow Enterprise 64,Owner 64,Female,1,Micro,Manufacturing,Uttar Pradesh,Lucknow,1,General,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,hi,40.39,26.65,Handloom Dupatta,6,1,0,0,0,0
MSE00065,UDYAM-DN-03-0000065,Diu Enterprise 65,Owner 65,Female,1,Micro,Manufacturing,Dadra & Nagar Haveli,Diu,3,General,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,hi,62.75,22.26,Terracotta Pot|Brass Lamp,1,1,0,0,0,0
MSE00066,UDYAM-GJ-03-0000066,Rajkot Enterprise 66,Owner 66,Female,1,Micro,Manufacturing,Gujarat,Rajkot,3,General,26,26101,Manufacture of electronic components,electronics,Electronics,gu,73.78,18.28,LED Bulb|Power Adapter,3,1,0,0,0,0
MSE00067,UDYAM-BR-03-0000067,Muzaffarpur Enterprise 67,Owner 67,Female,1,Micro,Services,Bihar,Muzaffarpur,3,ST,62,62011,"Writing, modifying, testing of computer programs",services,Services,hi,63.78,10.71,Web Development,6,1,0,0,0,0
MSE00068,UDYAM-DL-02-0000068,North West Delhi Enterprise 68,Owner 68,Female,1,Micro,Manufacturing,Delhi,North West Delhi,3,OBC,01,01300,Crop and animal production,agriculture,Agriculture,en,72.3,20.32,Organic Fertilizer,6,1,1,1,1,1
MSE00069,UDYAM-MH-01-0000069,Mumbai Enterprise 69,Owner 69,Other,0,Micro,Manufacturing,Maharashtra,Mumbai,1,General,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,mr,47.67,29.99,Papad,2,1,1,0,0,0
MSE00070,UDYAM-MP-03-0000070,Jabalpur Enterprise 70,Owner 70,Female,1,Micro,Manufacturing,Madhya Pradesh,Jabalpur,3,Minority,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,hi,38.1,39.99,Wooden Craft|Brass Lamp|Papier-mache Decor,6,1,1,1,1,1
MSE00071,UDYAM-KA-01-0000071,Bengaluru Urban Enterprise 71,Owner 71,Female,1,Small,Manufacturing,Karnataka,Bengaluru Urban,1,Minority,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,kn,911.85,224.96,Mango Pickle,2,1,1,1,1,0
MSE00072,UDYAM-MP-02-0000072,Bhopal Enterprise 72,Owner 72,Female,1,Micro,Manufacturing,Madhya Pradesh,Bhopal,2,OBC,01,01300,Crop and animal production,agriculture,Agriculture,hi,17.15,6.23,Vegetable Seeds|Herbal Saplings|Organic Fertilizer,5,1,1,1,0,0
MSE00073,UDYAM-RJ-03-0000073,Udaipur Enterprise 73,Owner 73,Other,0,Small,Manufacturing,Rajasthan,Udaipur,3,General,31,31001,Manufacture of furniture,others,Home & Kitchen,hi,234.84,347.04,Wooden Chair,4,1,1,1,1,1
MSE00074,UDYAM-RJ-01-0000074,Jaipur Enterprise 74,Owner 74,Female,1,Micro,Manufacturing,Rajasthan,Jaipur,1,OBC,31,31001,Manufacture of furniture,others,Home & Kitchen,hi,59.82,22.17,Kitchen Organizer|Storage Rack|Wooden Chair,4,1,0,0,0,0
MSE00075,UDYAM-BR-03-0000075,Muzaffarpur Enterprise 75,Owner 75,Other,0,Micro,Manufacturing,Bihar,Muzaffarpur,3,OBC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,90.25,19.7,Ready-to-Eat Snacks|Papad,1,1,1,1,1,1
MSE00076,UDYAM-OD-03-0000076,Sambalpur Enterprise 76,Owner 76,Female,1,Micro,Manufacturing,Odisha,Sambalpur,3,OBC,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,or,60.39,25.92,Kurta Fabric|Handloom Dupatta,5,1,0,0,0,0
MSE00077,UDYAM-UP-01-0000077,Lucknow Enterprise 77,Owner 77,Female,1,Micro,Manufacturing,Uttar Pradesh,Lucknow,1,SC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,43.27,7.11,Masala Mix|Mango Pickle|Ready-to-Eat Snacks,6,1,1,0,0,0
MSE00078,UDYAM-MH-02-0000078,Pune Enterprise 78,Owner 78,Female,1,Micro,Manufacturing,Maharashtra,Pune,1,General,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,mr,30.85,38.82,Brass Lamp,5,1,1,0,0,0
MSE00079,UDYAM-JH-01-0000079,Ranchi Enterprise 79,Owner 79,Female,1,Small,Services,Jharkhand,Ranchi,2,SC,62,62011,"Writing, modifying, testing of computer programs",services,Services,hi,841.1,298.95,Digital Marketing|Web Development,5,1,1,0,0,0
MSE00080,UDYAM-TS-03-0000080,Nizamabad Enterprise 80,Owner 80,Other,0,Micro,Manufacturing,Telangana,Nizamabad,3,General,26,26101,Manufacture of electronic components,electronics,Electronics,te,64.59,46.67,LED Bulb|Mobile Charger|Earphones,1,1,1,1,0,0
MSE00081,UDYAM-WB-02-0000081,Howrah Enterprise 81,Owner 81,Male,0,Micro,Manufacturing,West Bengal,Howrah,2,General,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,bn,88.46,5.28,Mango Pickle,4,1,1,1,1,0
MSE00082,UDYAM-PB-03-0000082,Jalandhar Enterprise 82,Owner 82,Male,0,Micro,Manufacturing,Punjab,Jalandhar,3,General,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,54.7,23.35,Ready-to-Eat Snacks,6,1,1,1,1,1
MSE00083,UDYAM-TS-03-0000083,Nizamabad Enterprise 83,Owner 83,Male,0,Small,Manufacturing,Telangana,Nizamabad,3,Minority,20,20232,Manufacture of perfumes and toilet preparations,health_beauty,Beauty & Personal Care,te,765.56,173.95,Essential Oil|Herbal Face Pack|Ayurvedic Balm,2,1,0,0,0,0
MSE00084,UDYAM-DL-03-0000084,South East Delhi Enterprise 84,Owner 84,Male,0,Micro,Manufacturing,Delhi,South East Delhi,3,General,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,hi,14.47,36.63,Terracotta Pot,5,1,0,0,0,0
MSE00085,UDYAM-WB-03-0000085,Siliguri Enterprise 85,Owner 85,Other,0,Micro,Manufacturing,West Bengal,Siliguri,3,General,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,51.06,7.31,Papad|Ready-to-Eat Snacks|Mango Pickle,5,1,1,1,0,0
MSE00086,UDYAM-MH-02-0000086,Pune Enterprise 86,Owner 86,Female,1,Micro,Services,Maharashtra,Pune,1,General,62,62011,"Writing, modifying, testing of computer programs",services,Services,en,15.24,33.36,IT Support|Catalog Design|Digital Marketing,5,1,1,1,1,0
MSE00087,UDYAM-BR-02-0000087,Gaya Enterprise 87,Owner 87,Male,0,Small,Manufacturing,Bihar,Gaya,3,OBC,26,26101,Manufacture of electronic components,electronics,Electronics,hi,254.46,192.04,Mobile Charger|Power Adapter|LED Bulb,4,1,1,1,0,0
MSE00088,UDYAM-AS-01-0000088,Kamrup Metro Enterprise 88,Owner 88,Female,1,Micro,Services,Assam,Kamrup Metro,3,OBC,62,62011,"Writing, modifying, testing of computer programs",services,Services,as,61.33,16.31,IT Support|Web Development|Catalog Design,3,1,1,1,1,1
MSE00089,UDYAM-PB-01-0000089,Ludhiana Enterprise 89,Owner 89,Female,1,Micro,Manufacturing,Punjab,Ludhiana,2,OBC,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,pa,27.79,16.94,Cotton Saree|Handloom Dupatta,5,1,0,0,0,0
MSE00090,UDYAM-UP-02-0000090,Kanpur Nagar Enterprise 90,Owner 90,Other,0,Micro,Manufacturing,Uttar Pradesh,Kanpur Nagar,2,OBC,26,26101,Manufacture of electronic components,electronics,Electronics,hi,46.8,30.61,Power Adapter|Mobile Charger,5,1,1,0,0,0
MSE00091,UDYAM-GJ-01-0000091,Ahmedabad Enterprise 91,Owner 91,Female,1,Micro,Manufacturing,Gujarat,Ahmedabad,1,SC,01,01300,Crop and animal production,agriculture,Agriculture,gu,94.04,15.55,Vegetable Seeds,1,1,0,0,0,0
MSE00092,UDYAM-ML-02-0000092,Ri-Bhoi Enterprise 92,Owner 92,Female,1,Micro,Manufacturing,Meghalaya,Ri-Bhoi,3,ST,01,01300,Crop and animal production,agriculture,Agriculture,en,28.0,7.91,Compost,5,1,1,1,1,0
MSE00093,UDYAM-OD-03-0000093,Sambalpur Enterprise 93,Owner 93,Female,1,Micro,Manufacturing,Odisha,Sambalpur,3,OBC,26,26101,Manufacture of electronic components,electronics,Electronics,hi,29.1,25.4,Power Adapter|Earphones|Mobile Charger,6,1,1,1,1,1
MSE00094,UDYAM-UP-02-0000094,Kanpur Nagar Enterprise 94,Owner 94,Female,1,Small,Manufacturing,Uttar Pradesh,Kanpur Nagar,2,OBC,20,20232,Manufacture of perfumes and toilet preparations,health_beauty,Beauty & Personal Care,hi,152.07,145.21,Essential Oil|Natural Soap|Ayurvedic Balm,4,1,1,1,1,1
MSE00095,UDYAM-GJ-02-0000095,Surat Enterprise 95,Owner 95,Female,1,Micro,Services,Gujarat,Surat,2,SC,62,62011,"Writing, modifying, testing of computer programs",services,Services,hi,73.36,26.18,Catalog Design,3,1,1,1,1,0
